Property ID 	 Description 	 Represents 	 Domain 	 Allowed Values 	 Examples 	 Data Type
P624	Guidance system of a missile	null	null	types of guidance system (Q1707071) (note: this should be moved to the property statements)	AIM-9 Sidewinder (Q235396) ? infrared homing (Q1366032)	Item
P21	null	null	null	null	null	null
P748	Who appointed the person to the office, can be used as a qualifier	null	position (Q4164871) (president, judge, prime minister, etc.) or person in that position	persons (note: this should be moved to the property statements)	en:Adly Mansour (appointed as president by en:Abdul Fatah Khalil Al-Sisi) (note: this should be moved to the property statements)	Item
P20	Place where a person died	place of death (Q18658526)	person	place (note: this should be moved to the property statements)	René Descarte (Q9191) ? Stockholm (Q1754) Sung Jae-ki (Q4688112) ? Seoul (Q8684) and Han River (Q55500) Richard Dürr (Q2002681) ? Lausanne University Hospital (Q2945783) captain Nemo (Q1046049) ? Pacific Ocean (Q98)	Item
P505	General manager of a sports team	general manager (Q1210069)	sports team	persons (note: this should be moved to the property statements)	Montreal Canadiens (Q188143) ? Marc Bergevin (Q980115)	Item
P747	this item is used to link the main work item with its editions items. See also issue (P433).	edition (Q3331189)	work (Q386724)	edition (Q3331189) for editions work (Q386724) for translations (note: this should be moved to the property statements)	According to this template: Hamlet <edition> Edwards, Phillip, ed. 1985 Die Götter Griechenlandes (Q1147941) ? no label (Q21042432) According to statements in the property: Die Götter Griechenlandes (Q1147941) ? no label (Q21042432) When possible, data should only be stored as statements	Item
P868	foods consumed during the ceremony	null	subject domain is ceremonies, celebrations, festivals and holidays; object domain is cuisine, sweets and foods	null	w:en:Chinese_new_year#Cuisine (note: this should be moved to the property statements)	Item
P22	null	father (Q7565)	person (Q215627) / fictional character (Q95074)	person (Q215627) / fictional character (Q95074):male (Q6581097) / male creature (Q44148) (note: this should be moved to the property statements)	Jane Fonda (Q41142) ? Henry Fonda (Q19155) Sveinn Björnsson (Q207206) ? Björn Jónsson (Q879667) Indira Gandhi (Q1149) ? Jawaharlal Nehru (Q1047) Eros (Q121973) ? Ares (Q40901) and Zephyrus (Q467515) daughter of Adrian II (Q22348311) ? Adrian II (Q173995) Robert De Niro (Q36949) ? Robert De Niro (Q951321)	Item
P25	null	mother (Q7560)	persons	female persons, generally a single item (note: this should be moved to the property statements)	Charles, Prince of Wales (Q43274) ? Elizabeth II (Q9682) Jesus Christ (Q302) ? Mary (Q345) Ares (Q40901) ? Hera (Q38012)	Item
P26	The spouse (husband/wife) of a person. For people not married, rather use partner (P451) ("partner").	spouse (Q1196129)	person	person (note: this should be moved to the property statements)	Pierre Curie (Q37463) ? Marie Curie (Q7186) Marie Antoinette (Q47365) ? Louis XVI of France (Q7732) Louis XVI of France (Q7732) ? Marie Antoinette (Q47365) Jacqueline, Countess of Hainaut (Q467007) ? John, Dauphin of France, Duke of Touraine (Q1685961), John IV, Duke of Brabant (Q1335790), Humphrey of Lancaster, 1st Duke of Gloucester (Q447541) and Frank van Borssele (Q351161) Hillary Clinton (Q6294) ? Bill Clinton (Q1124) Galileo Galilei (Q307) ? not applicable	Item
P610	null	null	place	null	According to this template: People's Republic of China (Q148) => Mount Everest (Q513) According to statements in the property: Norway (Q20) ? Galdhøpiggen (Q203942) 2015 Tour de France, Stage 12 (Q19946560) ? Plateau de Beille (Q764281) People's Republic of China (Q148) ? Mount Everest (Q513) When possible, data should only be stored as statements	Item
P730	Date on which the equipment was retired from operational service	null	manufactured products - device (Q1183543)	any date later than its service entry (P729) (note: this should be moved to the property statements)	F-105 Thunderchief (Q724763) ? 25 February 1984	Point in time
P972	Either a) catalog where the item appears (used as qualifier for catalog code (P528)), or b) catalog of an exhibition (Q464980)	catalog (Q2352616)	exhibition (Q464980), or individual items potentially appearing in catalogs	catalogues - catalog (Q2352616), often exhibition catalogue (Q780605) (note: this should be moved to the property statements)	a) as qualifier: NGC 42 (Q49648) => catalog code (P528): PGC 867, qualifier: catalog (P972): Principal Galaxies Catalogue (Q1479861) b) as main property: Mona Lisa Exhibition (Q15087813) => Mona Riza ten / Exposition la Joconde (Q15088275) Hans Holbein the Elder (Q49987) => catalog (P972): Web Gallery of Art (Q1464063) + qualifier catalog code (P528): HOLBEIN, Hans the Elder c) for encyclopaedia articles use: Hans Holbein the Elder (Q49987) => described by source (P1343): Brockhaus Enzyklopädie (19 ed.) (Q17377889) + qualifiers volume (P478): 10, page (P304): 183, section, verse, or paragraph (P958): Holbein, Hans, d.Ä. (note: this should be moved to the property statements)	Item
P612	Name of the mother house	motherhouse (Q941784)	place	null	Solesmes Abbey (Q306131) ? Saint-Pierre de la Couture Abbey (Q2820433)	Item
P1817	null	null	letter (Q133492)	null	According to this template: Letter From John Pelham to Jefferson Davis (Q19096701) => Jefferson Davis (Q162269) According to statements in the property: Letter From John Pelham to Jefferson Davis (Q19096701) ? Jefferson Davis (Q162269) When possible, data should only be stored as statements	Item
P611	The order of monks or nuns which the monastery housed (also true for persons or organizations)	religious order (Q2061186)	human (Q5), geographic location (Q2221906), organization (Q43229)	null	Fontgombault Abbey (Q591) ? Order of Saint Benedict (Q131132) Conrad of Parzham (Q16785) ? Order of Friars Minor Capuchin (Q124862)	Item
P853	Computer Entertainment Rating Organization (Q634333) : Japanese video game rating system	CERO content rating (Q22081829)	video game (Q7889)	CERO content rating (Q22081829) (content rating system (Q5165090) items that are part of Computer Entertainment Rating Organization (Q634333)) (note: this should be moved to the property statements)	Super Mario Bros. (Q11168) ? A (All ages) (Q14870285) Demon's Souls (Q1153708) ? D (Ages 17 and up) (Q14870298) Final Fantasy VII (Q214232) ? B (Ages 12 and up) (Q14870286) Call of Duty 3 (Q308961) ? C (Ages 15 and up) (Q14870289) Assassin's Creed III (Q40166) ? Z (Ages 18 and up only) (Q14870299)	Item
P974	rivers and streams that flow into larger bodies of water	tributary (Q159675)	geographical features, mainly bodies of water, though suppose the concept of tributaries can apply to other things	instances of watercourse (Q355304) (note: this should be moved to the property statements)	Mississippi River (Q1497) ? Missouri River (Q5419) no label (Q3433806) ? no label (Q2923910)	Item
P971	Two or more item topics that this category combines. Rather use category's main topic (P301) for single values (one-to-one mappings), and topic's main category (P910) to link back.	null	Wikimedia category (Q4167836)	Not categories - Not Wikimedia category (Q4167836) (note: this should be moved to the property statements)	Category:Dutch politicians (Q7068416) ? Netherlands (Q55) and politician (Q82955) Category:People from Lima (Q6062833) ? person, related to this place (Q19660746) and Lima (Q2868) Category:2010 deaths (Q9707746) ? year of death (Q21160456) and 2010 (Q1995) Category:1985 births (Q6647944) ? year of birth (Q21821348) and 1985 (Q2431) Category:16th-century people (Q6824547) ? human (Q5) and 16th century (Q7017) Category:Death in Los Angeles (Q9218950) ? place of death (Q18658526) and Los Angeles (Q65) Category:20th century in the British Virgin Islands (Q8206289) ? 20th century (Q6927) and British Virgin Islands (Q25305)	Item
P970	what function does the neuron have	null	neuron (Q43054)	neuron functions (note: this should be moved to the property statements)	retina bipolar cell (Q864951) ? phototransduction (Q14859557)	Item
P618	source of energy that an animated object (machine or animal) uses	null	machines, aircraft, vehicles, ships, animals...	types of fuel, batteries, food, radiation... (note: this should be moved to the property statements)	According to this template: Nuclear submarine = nuclear energy, nuclear reactor = nuclear energy, car = fuel (or diesel, ...), airplane = kerosine, satellite = solar energy, animals = food (or chemical energy?), hybrid car = batteries + fuel, sun = fusion energy, cellphone = Li-battery, power tools = electricity, windmill = wind, ... According to statements in the property: windmill (Q38720) ? wind (Q8094) potato masher (Q12872) ? human energy (Q20984829) When possible, data should only be stored as statements	Item
P739	the type of ammunition that a gun fires	null	firearm (Q12796)	types of ammunition - ammunition (Q185785) or its specialization cartridge (Q37144) (note: this should be moved to the property statements)	According to this template: Heckler & Koch G3 = 7.62×51mm NATO According to statements in the property: G3 (Q211791) ? 7.62x51(.30) (Q259210) When possible, data should only be stored as statements	Item
P1811	link to the article with the list of episodes for this series	episode (Q1983062)	television series (Q5398426) and similar, i.e. radio series	list of a Wikimedia project (Q13406463) (note: this should be moved to the property statements)	According to this template: Breaking Bad (Q1079) => list of Breaking Bad episodes (Q126004) According to statements in the property: Breaking Bad (Q1079) ? list of Breaking Bad episodes (Q126004) When possible, data should only be stored as statements	Item
P738	null	null	null	null	null	null
P859	Enterprise that sponsorises this item	sponsor (Q152478)	person, organization, event	type of linked items,allowed values (if limited) (note: this should be moved to the property statements)	Kílian Jornet Burgada (Q1381198) ? Salomon Group (Q2120822) Cristiano Ronaldo (Q11571) ? Nike (Q483915)	Item
P619	launch date.	space launch (Q7572593)	??????????? ????????/ space craft	????? ????, ????? ?????????? ????? 1957 ?????/ any date from 1957 onwards (note: this should be moved to the property statements)	???????-??????? ??????? 15 ??????? 1997 ????, 16:01:00 UTC/ Cassini?Huygens launched 15 October 1997, 16:01:00 UTC (note: this should be moved to the property statements)	Point in time
P30	continent where the subject is located. Use for countries, bi-continental areas, locations in Antarctica.	continent (Q5107)	places - geographic location (Q2221906): countries, bi-continental areas. All places in Antarctica.	continent (Q5107) (note: this should be moved to the property statements)	Afghanistan (Q889) ? Asia (Q48) India (Q668) ? Asia (Q48) Libya (Q1016) ? Africa (Q15) France (Q142) ? Europe (Q46)	Item
P735	The given name or the first name of a person. See WikiProject Names for more information. This only applies to persons who have a first name. This provides a machine readable version of the label for person items. See also: family name (P734). How to create a new item for a given name How to clean up a given name item Properties for a given name	given name (Q202444)	persons	given name (Q202444) (note: this should be moved to the property statements)	George Washington (Q23) ? George (Q15921732) Sylvain Chavanel (Q333329) ? Sylvain (Q16281827) Kim Yo-Han (Q12588157) ? Yo-han (Q16256879) Kim Basinger (Q131380) ? Kim (Q637123) Bill Clinton (Q1124) ? Bill (Q18245781) and William (Q14371254)	Item
P734	The surname, family name, or the last name of a person. This only applies to persons who have a last name. This provides a machine readable version of the label for person items. See also: given name (P735).	family name (Q101352)	persons	family names - family name (Q101352) (note: this should be moved to the property statements)	Jack Bauer (Q24) ? Bauer (Q1965022) Kim Ji-yeon (Q485431) ? Kim (Q13083721) Kim Bauer (Q1049347) ? Bauer (Q1965022)	Item
P737	items that influenced the current item. Opposite of no label (P738). See also: based on (P144).	null	various. Persons, ideas, music bands, artistic eras, etc.	same as domain (note: this should be moved to the property statements)	Heidegger => influenced by => Aristotle (note: this should be moved to the property statements)	Item
P736	Name of person or team creating album (or single) cover artwork	null	creative work/ released recording	person or organisation (note: this should be moved to the property statements)	According to this template: The Wall (Q151114) -> Gerald Scarfe (Q463132) According to statements in the property: The Wall (Q151114) ? Gerald Scarfe (Q463132) When possible, data should only be stored as statements	Item
P36	Capital of a country, province, Largest Area of a Place: location of its governing head	capital (Q5119)	administrative territorial entity (Q56061)	human settlement (Q486972), mainly capital (Q5119) (note: this should be moved to the property statements)	Estonia (Q191) ? Tallinn (Q1770) Russia (Q159) ? Moscow (Q649) Italy (Q38) ? Rome (Q220) France (Q142) ? Paris (Q90)	Item
P35	Official with the highest formal authority in a country. See also head of government (P6)	head of state (Q48352)	political Units	person, term, organization: one or several (if applicable); current and past (note: this should be moved to the property statements)	France (Q142) ? François Hollande (Q157) Australia (Q408) ? Elizabeth II (Q9682) and Peter Cosgrove (Q976974) Sweden (Q34) ? List of Swedish monarchs (Q182162) and Carl XVI Gustaf of Sweden (Q45068)	Item
P38	Official currency of a country or state	currency (Q8142)	Instances of administrative territorial entity (Q56061)	Instances of currency (Q8142) (note: this should be moved to the property statements)	Finland (Q33) ? euro (Q4916) Japan (Q17) ? Japanese yen (Q8146) People's Republic of China (Q148) ? renminbi (Q39099) Liechtenstein (Q347) ? Swiss franc (Q25344)	Item
P37	Official language of an organization (Q43229), including municipalities and states	official language (Q23492)	organization (Q43229) : state (Q7275), local government (Q6501447), but also smaller organizations	language (Q34770), mainly natural language (Q33742) (note: this should be moved to the property statements)	According to this template: France (Q142) => French (Q150), Austria (Q40) => German (Q188), Kazakhstan (Q232) => Russian (Q7737) According to statements in the property: Czech Republic (Q213) ? Czech (Q9056) Hawaii (Q782) ? Hawaiian (Q33569) and English (Q1860) France (Q142) ? French (Q150) Austria (Q40) ? German (Q188) Kazakhstan (Q232) ? Russian (Q7737) When possible, data should only be stored as statements	Item
P39	Office or official responsibility filled by a person sometime in his/her life. Qualify with: start time (P580), end time (P582), replaces (P1365), replaced by (P1366), electoral district (P768) (electoral constituency), subject of (P805). If there is no specific item for the position: of (P642) (chamber/senate/assembly/administrative entity), but generally a specific item for the a public office should be created.	mandate (Q845436)	person	use item for specific public offices in priority. generic office - position (Q4164871), e.g. municipal councillor (Q15113603), member of parliament (Q486839), deputy (Q1055894) (note: this should be moved to the property statements)	According to this template: Barack Obama (Q76) position held (P39) United States Senator (Q13217683) qualifiers: start time (P580) 3 January 2005 end time (P582) 16 November 2008 series ordinal (P1545) 52 elected in (P2715) United States Senate election in Illinois, 2004 (Q3586671) end cause (P1534) resignation (Q796919) electoral district (P768) Illinois (Q1204) subject of (P805) United States Senate career of Barack Obama (Q7891359) replaces (P1365) Peter Fitzgerald (Q1344425) replaced by (P1366) Roland Burris (Q609172) According to statements in the property: George Washington (Q23) ? President of the United States of America (Q11696) Frederick II, Holy Roman Emperor (Q130221) ? Holy Roman Emperor (Q181765) When possible, data should only be stored as statements	Item
P1809	person(s) who did the choreography	choreographer (Q2490358)	ballet (Q15079786) and more	human (Q5) (note: this should be moved to the property statements)	According to this template: Flames of Paris (Q59810) ?? Vasili Vainonen (Q2668784) According to statements in the property: Flames of Paris (Q59810) ? Vasili Vainonen (Q2668784) When possible, data should only be stored as statements	Item
P522	orbit type	orbit (Q4130)	??????????? ???????? ?? ??????????? ??????? ???????? - spacecraft (Q40218)	types of orbit (Q4130): ??????????????? ??????, ????????-?????????? ??????, ???????? ??????, ??????? ????????????? ?????? ? ?. ?. (note: this should be moved to the property statements)	According to this template: Jamal 201 (Q4537552) => type of orbit (P522)=geostationary orbit (Q192316) According to statements in the property: Jamal 201 (Q4537552) ? geostationary orbit (Q192316) When possible, data should only be stored as statements	Item
P885	main source of a river or stream	river source (Q7376362)	watercourse (Q355304)	body of water (Q15324), or more specifically watercourse (Q355304) (note: this should be moved to the property statements)	could be lakes (e.g. en:Columbia Lake, source of en:Columbia River), glaciers and icefields (e.g. en:Columbia Icefield, source of en:Athabasca River), mountain range (e.g. en:Andes Mountains source of en:Amazon River). The property would be analogous to Property:P403 (mouth of the watercourse) (note: this should be moved to the property statements)	Item
P400	computing platform on which a software runs, e.g. PC, ARM, Xbox	null	computer program (Q40056): application (Q166142), video game (Q7889)...	computing platform (Q241317), or possibly simply operating system (Q9135) (note: this should be moved to the property statements)	According to this template: Minecraft (Q49740) => Xbox 360 (Q48263), Grand Theft Auto IV (Q94797) => PlayStation 3 (Q10683), Counter-Strike (Q163628) => Xbox (Q132020) According to statements in the property: Minecraft (Q49740) ? Xbox 360 (Q48263) Grand Theft Auto IV (Q94797) ? PlayStation 3 (Q10683) Counter-Strike (Q163628) ? Xbox (Q132020) When possible, data should only be stored as statements	Item
P521	Airports/Stations served by regular/scheduled service from this airport or station	null	airport (other transportation ports/stations as well)	human settlement (Q486972) (note: this should be moved to the property statements)	According to this template: <Seattle-Tacoma International Airport> scheduled service destination <Portland International Airport> According to statements in the property: Roland Garros Airport (Q17430) ? Dzaoudzi Pamandzi International Airport (Q642313) Seattle–Tacoma International Airport (Q14295) ? Portland International Airport (Q1425566) When possible, data should only be stored as statements	Item
P403	Body of water at the end of a watercourse. See also lakes on river (P469).	river mouth (Q1233637)	watercourse (Q355304)	body of water (Q15324) (note: this should be moved to the property statements)	Vltava (Q131574) ? Elbe (Q1644) Rivière des Remparts (Q3433902) ? Indian Ocean (Q1239) Okavango River (Q188773) ? Okavango Delta (Q650872) Nile (Q3392) ? Mediterranean Sea (Q4918) Amazonas (Q3783) ? Atlantic Ocean (Q97) Danube (Q1653) ? Black Sea (Q166) Volga (Q626) ? Caspian Sea (Q5484) Rhine (Q584) ? North Sea (Q1693) Indus River (Q7348) ? Arabian Sea (Q58705) Mississippi River (Q1497) ? Gulf of Mexico (Q12630) Jordan River (Q40059) ? Dead Sea (Q23883) Yellow River (Q7355) ? Yellow Sea (Q37960) Amur (Q6862) ? Sea of Okhotsk (Q41602) Volkhov River (Q15243) ? Lake Ladoga (Q15288)	Item
P524	The end of a fossil record, sedimentation, ice age (...) relative to the geologic time scale.	null	Animals, Plants, Fossils, Stratigraphic units,	geochronological unit (Q6156156) - Stages of the Geologic Time Scale (see latest list) (note: this should be moved to the property statements)	Tyrannosaurus (Q14332) ? Maastrichtian (Q278141) Old Red Sandstone (Q1517523) ? Silurian (Q62412)	Item
P887	Qualifier / source for statements, to indicate that the property value is determined based on some heuristic (Q201413).	heuristic (Q201413)	Can be associated to many properties of a large number of different item types	Many items of different nature (note: this should be moved to the property statements)	sex or gender (P21) can be based on the heuristic personal name (Q1071027), instead of "imported from (P143)", indicating a lower level of confidence in its correctness. (note: this should be moved to the property statements)	Item
P523	The beginning of a fossil record, sedimentation, ice age (...) relative to the geologic time scale	null	Animals, Plants, Fossils, Stratigraphic units,	geochronological unit (Q6156156) - Stages of the Geologic Time Scale (see latest list) (note: this should be moved to the property statements)	Tyrannosaurus (Q14332) ? Maastrichtian (Q278141) Old Red Sandstone (Q1517523) ? Silurian (Q62412)	Item
P765	the surface on which the tournament is played	null	sporting events - sport competition (Q13406554)	all types of surfaces (note: this should be moved to the property statements)	Wimbledon Championships (Q41520) ? lawn (Q207766)	Item
P1924	null	vaccine (Q134808)	vaccine (Q134808)	infectious disease (Q131736) (note: this should be moved to the property statements)	Cholera vaccine (Q1812946) ? cholera (Q12090)	Item
P881	variability type of variable star	variable star (Q6243)	variable star (Q6243)	null	Delta Cephei (Q13024) ? Cepheid variable (Q188593)	Item
P880	Computer's CPU	central processing unit (Q5300)	term (computer)	for the future we could think to allow only items with Instance of equal to microprocessor (Q5297) (microprocessore) (note: this should be moved to the property statements)	According to this template: Commodore 64 (Q99775) --- ( cpu ) ---> MOS Technology 6510 (Q378246), Texas Instruments TI-99/4A (Q454390) --- ( cpu ) ---> Texas Instruments TMS9900 (Q767710) According to statements in the property: Commodore 64 (Q99775) ? MOS Technology 6510 (Q378246) Texas Instruments TI-99/4A (Q454390) ? Texas Instruments TMS9900 (Q767710) When possible, data should only be stored as statements	Item
P520	Weaponry aircraft or ship is armed with	null	aircraft, warship...	weapons (note: this should be moved to the property statements)	Super Hornet (Q223318) ? AIM-120 AMRAAM (Q293743)	Item
P641	sport in which the entity participates or belongs to	type of sport (Q31629)	person, organization	sports (note: this should be moved to the property statements)	Gediminas Grinius (Q20731566) ? ultra-trail (Q3548048) 2009 Table Tennis European Championships (Q324758) ? table tennis (Q3930) Sigulda bobsleigh, luge, and skeleton track (Q2560782) ? skeleton (Q186190) National Basketball Association (Q155223) ? basketball (Q5372)	Item
P1923	Like 'Participant' (P1344) but for teams. For an event like a cycle race or a football match you can use this property to list the teams and P1344 to list the individuals (with 'member of sports team' (P54)' as a qualifier for the individuals)	null	sports competitions and leagues	sports teams, Olympic teams (note: this should be moved to the property statements)	According to this template: 2014 FIFA World Cup Final (Q15926885) ? Argentina national football team (Q79800) According to statements in the property: 2014 FIFA World Cup Final (Q15926885) ? Argentina national football team (Q79800) When possible, data should only be stored as statements	Item
P408	software engine employed by this software application	software engine (Q2622299)	software (Q7397), mainly video game (Q7889)	software engine (Q2622299), mainly game engine (Q193564) (note: this should be moved to the property statements)	According to this template: System Shock 2 <game engine> Dark Engine According to statements in the property: System Shock 2 (Q1371495) ? Dark Engine (Q736363) When possible, data should only be stored as statements	Item
P647	which team the player was drafted by	null	sportsperson - sportsperson (Q2066131)	any sports team - sports team (Q12973014) (note: this should be moved to the property statements)	According to this template: Joe Thornton <drafted by> Boston Bruins According to statements in the property: Nick Punto (Q389598) ? Philadelphia Phillies (Q650840) Joe Thornton (Q434899) ? Boston Bruins (Q194121) When possible, data should only be stored as statements	Item
P768	null	Constituency (Q192611)	Humans: specifically members of legislative bodies (local, regional, or national).	null	John Boehner (Q11702) ? Ohio's 8th congressional district (Q7080711) David Cameron (Q192) ? Witney (Q874194) Jimmie Åkesson (Q518776) ? no label (Q10542122)	Item
P40	the subject is parent of the linked object, which is its child. The child should have a reverse property, either father (P22) or mother (P25).	offspring (Q239526)	person	person (note: this should be moved to the property statements)	Kirk Douglas (Q104027) ? Michael Douglas (Q119798) Mary (Q345) ? Jesus Christ (Q302) Zeus (Q34201) ? Athena (Q37122) Lord Byron (Q5679) ? Ada Lovelace (Q7259)	Item
P404	available game modes in a video game e.g. single-player, multiplayer	game mode (Q1971694)	video game (Q7889)	instances of game mode (Q2310257) : single-player, multiplayer, cooperative... (note: this should be moved to the property statements)	The Legend of Zelda: Ocarina of Time (Q213911) ? single-player video game (Q208850) Civilization IV (Q2377) ? multiplayer video game (Q6895044)	Item
P767	A person or organization that contributed in the creation of a creative work.	contributor (Q20204892)	published works	null	According to this template: Discworld Noir (Q914128) <collaborator> Terry Pratchett (Q46248) According to statements in the property: Discworld Noir (Q914128) ? Terry Pratchett (Q46248) When possible, data should only be stored as statements	Item
P407	Language used by an edition or translated versions of a work:edition(s) (P747). For its inverse edition or translation of (P629) = work, use original language of work (P364)in which the book, movie or other work was originally created. Use native language (P103) or languages spoken or written (P1412) for persons.	null	work (Q386724)	any languoid (Q17376908), mainly languages - language (Q34770) (note: this should be moved to the property statements)	According to this template: Autobiografia di Alice Toklas (translation) (Q15741500) => Italian (Q652) According to statements in the property: Autobiografia di Alice Toklas (translation) (Q15741500) ? Italian (Q652) When possible, data should only be stored as statements	Item
P43	null	stepfather (Q1282201)	human (Q5)	human (Q5) (note: this should be moved to the property statements)	Marcus Aurelius Antoninus (Q1430) ? Antoninus Pius (Q1429) Rumer Willis (Q234566) ? Ashton Kutcher (Q164782) Trace Cyrus (Q54867) ? Billy Ray Cyrus (Q231259)	Item
P406	link to the soundtrack album	soundtrack (Q217199), soundtrack album (Q4176708)	various types of work (Q386724) : film (Q11424), video game (Q7889), anime (Q1107), television series (Q5398426)...	work (Q386724), more specifically soundtrack album (Q4176708) (note: this should be moved to the property statements)	Requiem for a Dream (Q487181) ? Requiem for a Dream (Q3427577)	Item
P527	Object is a part of this subject. Opposite of part of (P361).	null	Any	Any (note: this should be moved to the property statements)	Eurasia (Q5401) ? Europe (Q46) and Asia (Q48) Solar System (Q544) ? Mercury (Q308), Venus (Q313), Earth (Q2) and Mars (Q111) Americas (Q828) ? North America (Q49) and South America (Q18) The Beatles (Q1299) ? John Lennon (Q1203), Paul McCartney (Q2599), Ringo Starr (Q2632) and George Harrison (Q2643) Bible (Q1845) ? Old Testament (Q19786), New Testament (Q18813) and Biblical apocrypha (Q170207) Sergeanne Golon (Q4066510) ? Anne Golon (Q263213) and Serge Golon (Q2338056)	Item
P769	a clinically significant interaction between two pharmacologically active substances (i.e., drugs and/or active metabolites) where one substance (so-called 'precipitant') alters the pharmacokinetics or pharmacodynamics of another substance (so-called, 'object'). The property should be used in this direction: <object> <drug action altered by> <precipitant>	drug interaction (Q718753)	term	null	According to this template: Warfarin (Q407431) => Lovastatin (Q417740) According to statements in the property: Warfarin (Q407431) ? Lovastatin (Q417740) When possible, data should only be stored as statements	Item
P44	Wife of the subject's father, who is not the subject's biological mother	stepmother (Q15384699)	Person	Person (women) (note: this should be moved to the property statements)	According to this template: Wilhelm Friedemann Bach (Q107277) => Anna Magdalena Bach (Q57212), Rumer Willis (Q234566) => Emma Heming (Q443073), Danièle Thompson (Q374760) => Michèle Morgan (Q234897) According to statements in the property: Wilhelm Friedemann Bach (Q107277) ? Anna Magdalena Bach (Q57212) Rumer Willis (Q234566) ? Emma Heming (Q443073) Danièle Thompson (Q374760) ? Michèle Morgan (Q234897) When possible, data should only be stored as statements	Item
P47	Territory that it shares border with. Countries or administrative subdivisions (of equal level?), that this item borders by land	political border (Q1292279), border (Q133346)	geographic features/places: Place that is country or administrative subdivision.	places: countries/administrative areas (note: this should be moved to the property statements)	Pays de la Loire (Q16994) ? Centre-Val de Loire (Q13947) France (Q142) ? Germany (Q183) Ukraine (Q212) ? Poland (Q36) Argentina (Q414) ? Chile (Q298)	Item
P1917	null	null	gene (Q7187), protein (Q8054)	Wikidata Item ID (Q*) with subclass disease (Q12136) (note: this should be moved to the property statements)	According to this template: MITF (Q14906495) ? skin melanoma (Q18558032) According to statements in the property: MITF (Q14906495) ? skin melanoma (Q18558032) When possible, data should only be stored as statements	Item
P511	word or expression with connotations conveying esteem or respect when used in addressing or referring to a person. Different from noble title (P97). Use in conjunction with honorific suffix (P1035).	honorific (Q1326966), title of honor (Q3320743)	Persons	title of honor (Q3320743) (note: this should be moved to the property statements)	Arthur Conan Doyle (Q35610) ? Sir (Q209690) Mitropolit beogradski Melentije (Q10857294) ? Hajji (Q1066124) Governor General of Canada (Q390776) ? The Right Honourable (Q1480896)	Item
P1918	null	null	subclasses of gene (Q7187)	Wikidata Item ID (Q*) with subclass disease (Q12136) (note: this should be moved to the property statements)	SNCA (Q14862268) ? Parkinson's disease (Q11085)	Item
P631	The senior structural engineer for this building project, usually a person or organization. See architect (P84) for similar architect property.	structural engineer (Q2305987)	work or geographical feature - construction (Q811430)	person, group or organisation (note: this should be moved to the property statements)	According to this template: World Trade Center (Q11235) => Leslie E. Robertson (Q6530777) According to statements in the property: World Trade Center (Q11235) ? Leslie E. Robertson (Q6530777) When possible, data should only be stored as statements	Item
P873	phase point to describe critical point and triple point, use of qualifier to describe the pressure, the temperature and the matter phase characterizing the point	null	term	critical point (Q111059),triple point (Q106410) (note: this should be moved to the property statements)	see Wikidata:Chemistry_task_force/Properties. (note: this should be moved to the property statements)	Item
P1915	null	null	gene (Q7187)	Wikidata Item ID (Q*) with subclass disease (Q12136) (note: this should be moved to the property statements)	According to this template: F8 (Q14863039) ? hemophilia A (Q2092064) According to statements in the property: F8 (Q14863039) ? hemophilia A (Q2092064) When possible, data should only be stored as statements	Item
P634	Captain of a sports team	captain (Q715772)	Sports team - sports team (Q12973014)	player - sportsperson (Q2066131) (note: this should be moved to the property statements)	London Knights (Q532549) ? Scott Harrington (Q6381046)	Item
P1916	null	null	gene (Q7187)	Wikidata Item ID (Q*) with subclass disease (Q12136) (note: this should be moved to the property statements)	According to this template: BRCA1 (Q227339) ? breast cancer (Q128581) According to statements in the property: BRCA1 (Q227339) ? breast cancer (Q128581) When possible, data should only be stored as statements	Item
P512	Academic degree that the person holds - academic degree (Q189533)	academic degree (Q189533), no label (Q15811255)	Person	Academic degree [ academic degree (Q189533) ] such as Doctor of Philosophy, Master, Bachelor etc. (note: this should be moved to the property statements)	According to this template: <Paul Krugman> => <Doctor of Philosophy> with qualifier field of work=<Economics> and educated at (P69)=<MIT> According to statements in the property: Paul Krugman (Q131112) ? Massachusetts Institute of Technology (Q49108) When possible, data should only be stored as statements	Item
P1913	null	null	gene (Q7187)	Wikidata Item ID (Q*) with subclass disease (Q12136) (note: this should be moved to the property statements)	According to this template: peripheral myelin protein 22 (Q18030619) ? Charcot–Marie–Tooth disease (Q1052687) According to statements in the property: peripheral myelin protein 22 (Q18030619) ? Charcot–Marie–Tooth disease (Q1052687) When possible, data should only be stored as statements	Item
P870	Combination of musical instruments employed in a composition,	null	creative work/ musical compositions	null	Cello Sonata (Q2747188) ? cello (Q8371) and piano (Q5994)	Item
P991	Person elected after the election. See also candidate (P726). You may qualify with votes received (P1111).	null	election (Q40231)	Person (note: this should be moved to the property statements)	United States presidential election, 2000 (Q327959) ? George W. Bush (Q207)	Item
P1914	null	null	gene (Q7187)	Wikidata Item ID (Q*) with subclass disease (Q12136) (note: this should be moved to the property statements)	According to this template: NOD2 (Q14912589) ? Crohn's disease (Q1472) According to statements in the property: NOD2 (Q14912589) ? Crohn's disease (Q1472) When possible, data should only be stored as statements	Item
